"Kilde: Nasjonalt vaksinasjonsregister SYSVAK, FHI"


"";"Covid-19, Dose 1, 65-74 år";"Covid-19, Dose 1, 75-84 år";"Covid-19, Dose 1, 85 og over";"Covid-19, Dose 2, 65-74 år";"Covid-19, Dose 2, 75-84 år";"Covid-19, Dose 2, 85 og over";"Covid-19, Dose 3, 65-74 år";"Covid-19, Dose 3, 75-84 år";"Covid-19, Dose 3, 85 og over"
"27.12.2020";5;0;0;0;0;0;0;0;0
"28.12.2020";88;149;352;0;0;0;0;0;0
"29.12.2020";132;301;572;0;0;0;0;0;0
"30.12.2020";66;123;163;0;0;0;0;0;0
"31.12.2020";6;17;23;0;0;0;0;0;0
"01.01.2021";0;0;0;0;0;0;0;0;0
"02.01.2021";0;0;0;0;0;0;0;0;0
"03.01.2021";0;0;0;0;0;0;0;0;0
"04.01.2021";0;0;0;0;0;0;0;0;0
"05.01.2021";333;886;1869;0;0;0;0;0;0
"06.01.2021";951;2435;4935;0;0;0;0;0;0
"07.01.2021";735;1663;3509;0;0;0;0;0;0
"08.01.2021";214;448;759;0;0;0;0;0;0
"09.01.2021";22;40;70;0;0;0;0;0;0
"10.01.2021";17;30;53;0;0;0;0;0;0
"11.01.2021";27;25;22;0;0;0;0;0;0
"12.01.2021";323;607;1278;0;0;0;0;0;0
"13.01.2021";682;1641;3673;0;0;0;0;0;0
"14.01.2021";564;1015;3033;0;0;0;0;0;0
"15.01.2021";223;395;1409;0;0;0;0;0;0
"16.01.2021";42;54;330;0;0;0;0;0;0
"17.01.2021";14;28;127;5;0;0;0;0;0
"18.01.2021";40;93;363;51;72;172;0;0;0
"19.01.2021";222;459;1467;111;234;425;0;0;0
"20.01.2021";552;1270;4219;90;189;356;0;0;0
"21.01.2021";416;844;3606;23;39;62;0;0;0
"22.01.2021";133;242;991;0;0;5;0;0;0
"23.01.2021";21;24;48;0;0;0;0;0;0
"24.01.2021";10;0;63;0;0;0;0;0;0
"25.01.2021";23;41;122;0;0;0;0;0;0
"26.01.2021";137;269;1015;217;612;1332;0;0;0
"27.01.2021";439;1258;6975;814;2064;4237;0;0;0
"28.01.2021";384;1089;6703;753;1690;3590;0;0;0
"29.01.2021";133;319;1972;268;573;1010;0;0;0
"30.01.2021";14;23;58;30;59;93;0;0;0
"31.01.2021";5;19;60;0;10;30;0;0;0
"01.02.2021";24;43;88;16;11;21;0;0;0
"02.02.2021";223;1608;2885;265;463;921;0;0;0
"03.02.2021";702;6280;13999;611;1444;3166;0;0;0
"04.02.2021";695;7790;12554;592;1116;3269;0;0;0
"05.02.2021";383;3828;3892;270;475;1623;0;0;0
"06.02.2021";40;454;151;24;39;318;0;0;0
"07.02.2021";31;171;70;14;25;119;0;0;0
"08.02.2021";15;26;22;33;35;160;0;0;0
"09.02.2021";206;2983;1187;191;258;884;0;0;0
"10.02.2021";671;14557;4412;489;1088;3787;0;0;0
"11.02.2021";783;12698;3825;431;864;3645;0;0;0
"12.02.2021";329;5143;1074;158;276;1027;0;0;0
"13.02.2021";57;529;117;26;13;19;0;0;0
"14.02.2021";23;59;0;0;0;0;0;0;0
"15.02.2021";36;156;24;17;46;175;0;0;0
"16.02.2021";130;2073;555;110;285;1145;0;0;0
"17.02.2021";537;11861;1995;403;1127;6431;0;0;0
"18.02.2021";510;8860;2002;380;1125;6766;0;0;0
"19.02.2021";274;3812;700;174;484;2600;0;0;0
"20.02.2021";13;171;23;0;23;83;0;0;0
"21.02.2021";0;53;0;5;5;77;0;0;0
"22.02.2021";19;5;0;8;25;97;0;0;0
"23.02.2021";49;144;202;183;1462;2514;0;0;0
"24.02.2021";206;604;394;615;5761;13116;0;0;0
"25.02.2021";185;536;226;644;8024;13350;0;0;0
"26.02.2021";234;296;88;384;3504;3881;0;0;0
"27.02.2021";13;30;7;25;146;47;0;0;0
"28.02.2021";6;393;0;6;36;108;0;0;0
"01.03.2021";45;12;0;10;20;30;0;0;0
"02.03.2021";166;2261;219;113;2088;959;0;0;0
"03.03.2021";474;3832;581;503;11354;4028;0;0;0
"04.03.2021";542;2693;477;587;10707;4102;0;0;0
"05.03.2021";379;1254;303;188;3741;1125;0;0;0
"06.03.2021";9;42;6;8;323;100;0;0;0
"07.03.2021";6;42;0;0;0;0;0;0;0
"08.03.2021";34;153;11;9;6;0;0;0;0
"09.03.2021";273;3532;330;181;2736;619;0;0;0
"10.03.2021";1034;6023;881;571;12693;2221;0;0;0
"11.03.2021";583;3850;412;667;11773;2219;0;0;0
"12.03.2021";235;1347;221;397;5863;857;0;0;0
"13.03.2021";22;17;7;40;204;31;0;0;0
"14.03.2021";0;0;0;24;53;0;0;0;0
"15.03.2021";25;14;0;54;250;17;0;0;0
"16.03.2021";299;4825;177;47;226;212;0;0;0
"17.03.2021";1279;20508;549;144;829;395;0;0;0
"18.03.2021";1521;17851;635;174;603;220;0;0;0
"19.03.2021";1318;4579;177;115;429;124;0;0;0
"20.03.2021";198;65;0;0;19;0;0;0;0
"21.03.2021";131;44;0;6;65;0;0;0;0
"22.03.2021";646;460;0;28;10;0;0;0;0
"23.03.2021";1856;7873;64;108;581;137;0;0;0
"24.03.2021";4852;27371;187;345;2663;486;0;0;0
"25.03.2021";6208;24077;215;315;1512;333;0;0;0
"26.03.2021";4771;6305;82;253;558;112;0;0;0
"27.03.2021";486;41;0;5;7;0;0;0;0
"28.03.2021";170;150;0;0;0;0;0;0;0
"29.03.2021";1160;34;5;19;73;5;0;0;0
"30.03.2021";12214;11252;72;244;3700;340;0;0;0
