"Tid/Dato","Kumulativt antall personer vaksinert med 1.dose","Kumulativt antall personer vaksinert med 2.dose","Kumulativt antall personer vaksinert med 3.dose","Antall personer vaksinert med 1.dose","Antall personer vaksinert med 2.dose","Antall personer vaksinert med 3.dose"
"2020-12-02 00:00:00",0,0,0,0,0,0
"2020-12-03 00:00:00",0,0,0,0,0,0
"2020-12-04 00:00:00",0,0,0,0,0,0
"2020-12-05 00:00:00",0,0,0,0,0,0
"2020-12-06 00:00:00",0,0,0,0,0,0
"2020-12-07 00:00:00",0,0,0,0,0,0
"2020-12-08 00:00:00",0,0,0,0,0,0
"2020-12-09 00:00:00",0,0,0,0,0,0
"2020-12-10 00:00:00",0,0,0,0,0,0
"2020-12-11 00:00:00",0,0,0,0,0,0
"2020-12-12 00:00:00",0,0,0,0,0,0
"2020-12-13 00:00:00",0,0,0,0,0,0
"2020-12-14 00:00:00",0,0,0,0,0,0
"2020-12-15 00:00:00",0,0,0,0,0,0
"2020-12-16 00:00:00",5,0,0,5,0,0
"2020-12-17 00:00:00",14,0,0,9,0,0
"2020-12-18 00:00:00",29,0,0,15,0,0
"2020-12-19 00:00:00",34,0,0,5,0,0
"2020-12-20 00:00:00",41,0,0,7,0,0
"2020-12-21 00:00:00",54,0,0,13,0,0
"2020-12-22 00:00:00",69,0,0,15,0,0
"2020-12-23 00:00:00",86,0,0,17,0,0
"2020-12-24 00:00:00",98,0,0,12,0,0
"2020-12-25 00:00:00",98,0,0,0,0,0
"2020-12-26 00:00:00",106,0,0,8,0,0
"2020-12-27 00:00:00",123,0,0,17,0,0
"2020-12-28 00:00:00",749,0,0,626,0,0
"2020-12-29 00:00:00",1839,0,0,1090,0,0
"2020-12-30 00:00:00",2308,0,0,469,0,0
"2020-12-31 00:00:00",2396,0,0,88,0,0
"2021-01-01 00:00:00",2420,0,0,24,0,0
"2021-01-02 00:00:00",2438,0,0,18,0,0
"2021-01-03 00:00:00",2478,0,0,40,0,0
"2021-01-04 00:00:00",2516,0,0,38,0,0
"2021-01-05 00:00:00",5956,0,0,3440,0,0
"2021-01-06 00:00:00",15108,9,0,9152,9,0
"2021-01-07 00:00:00",21725,9,0,6617,0,0
"2021-01-08 00:00:00",23384,19,0,1659,10,0
"2021-01-09 00:00:00",23555,19,0,171,0,0
"2021-01-10 00:00:00",23692,25,0,137,6,0
"2021-01-11 00:00:00",24182,35,0,490,10,0
"2021-01-12 00:00:00",28542,44,0,4360,9,0
"2021-01-13 00:00:00",38493,54,0,9951,10,0
"2021-01-14 00:00:00",47080,64,0,8587,10,0
"2021-01-15 00:00:00",51697,64,0,4617,0,0
