"07995: Døde. Foreløpige tall, etter statistikkvariabel, kjønn, alder, uke og år"

"statistikkvariabel";"kjønn";"alder";"uke";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Døde";"Begge kjønn";"Alle aldre";"Uke 1";1296;901;1027;1039;944;870;877;888;980;1020;886;977;895;1004;781;937;870;1006;938;872;862;830;932
"Døde";"Begge kjønn";"Alle aldre";"Uke 2";1219;967;932;966;954;842;852;907;889;1006;878;909;824;884;805;977;864;1048;872;829;952;869;878
"Døde";"Begge kjønn";"Alle aldre";"Uke 3";1073;879;918;993;940;801;868;831;876;953;807;852;881;909;830;913;939;928;945;812;837;860;780
"Døde";"Begge kjønn";"Alle aldre";"Uke 4";1044;885;919;896;915;834;879;868;818;1001;772;859;821;921;809;930;937;866;857;835;862;852;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 5";978;885;899;887;946;835;832;882;880;919;842;833;863;909;836;911;881;914;881;889;815;791;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 6";941;933;941;862;852;815;790;955;829;860;863;816;937;893;817;898;852;823;904;843;796;817;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 7";932;925;947;850;810;845;836;944;810;943;873;826;919;867;817;866;826;845;928;914;855;767;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 8";884;862;906;848;810;861;801;966;809;907;915;839;898;903;801;931;764;898;917;828;813;756;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 9";872;891;870;826;843;888;789;944;879;864;841;791;883;871;810;925;873;863;907;821;836;704;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 10";832;860;960;851;801;909;884;894;810;804;831;857;860;826;789;976;762;822;950;833;799;793;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 11";821;911;902;887;802;921;825;903;836;821;787;750;865;857;812;836;798;805;867;837;826;793;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 12";769;890;887;802;813;953;769;802;823;816;839;800;818;839;795;785;802;788;905;805;809;771;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 13";808;849;876;784;809;858;834;822;790;817;813;791;848;828;757;795;759;756;807;791;854;717;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 14";775;865;815;838;772;860;765;783;869;778;792;838;861;813;836;786;802;809;820;782;831;778;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 15";823;875;789;795;835;831;801;807;795;820;795;829;831;821;753;795;773;776;827;757;840;750;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 16";830;876;820;802;786;847;771;804;785;727;746;790;833;780;858;777;756;758;778;761;816;751;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 17";781;911;832;802;710;762;733;735;769;739;757;817;814;869;732;749;755;816;781;800;777;778;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 18";786;815;824;776;690;767;801;767;816;762;760;745;815;757;755;686;748;745;757;775;749;695;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 19";807;875;822;760;711;736;742;740;784;727;785;760;754;733;772;729;711;733;738;773;741;705;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 20";764;826;875;749;742;761;797;741;796;721;777;707;766;782;805;707;777;694;714;732;685;739;.
"Døde";"Begge kjønn";"Alle aldre";"Uke 21";782;838;791;746;764;794;751;805;741;815;710;802;763;727;792;780;713;735;692;741;740;731;.
