Name,Launch date (YYYY-MM-DD),Status,Action
STARLINK-3321,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3323,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3333,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3335,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3353,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3355,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3232,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3348,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3347,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3338,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3349,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3324,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3234,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3342,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3341,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3336,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3327,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3339,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3346,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3343,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3334,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3340,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3332,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3337,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3329,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3290,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3294,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3278,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3299,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3328,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3316,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3331,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3310,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3330,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3318,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3322,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3320,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3295,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3300,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3302,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3325,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3326,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3230,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3308,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3319,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3315,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3311,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3312,2022-01-06,IN ORBIT,TRACK IT
STARLINK-3314,2022-01-06,IN ORBIT,TRACK IT
FALCON 9 DEB,2022-01-06,DECAYED,
FALCON 9 DEB,2022-01-06,DECAYED,
FALCON 9 DEB,2022-01-06,DECAYED,
FALCON 9 DEB,2022-01-06,DECAYED,
FOSSASAT2E2,2022-01-13,IN ORBIT,TRACK IT
FOSSASAT2E1,2022-01-13,IN ORBIT,TRACK IT
UMBRA-02,2022-01-13,IN ORBIT,TRACK IT
FOSSASAT2E4,2022-01-13,IN ORBIT,TRACK IT
