"","State","flu_like_deaths","detrended","detrended_flu_like","median","median_flu_like","Week.Ending.Date","Total.Deaths","data_set","MMWR.Week","centered","centered_flu_like","non_flu_deaths","detrended_non_flu_like","centered_non_flu_like"
"1","Alabama",38,1057,38,1067.13924050633,33.5,2014-01-04,1057,"2014-2019",1,-10.1392405063291,4.5,1019,1019,-14.6392405063291
"2","Alabama",37,1076.72151898734,37,1081.36075949367,35,2014-01-11,1077,"2014-2019",2,-4.63924050632909,2,1040,1039.72151898734,-6.63924050632909
"3","Alabama",34,1047.44303797468,34,1034.22151898734,32.5,2014-01-18,1048,"2014-2019",3,13.2215189873418,1.5,1014,1013.44303797468,11.7215189873418
"4","Alabama",42,1021.16455696203,42,1005.54430379747,23,2014-01-25,1022,"2014-2019",4,15.620253164557,19,980,979.164556962025,-3.37974683544303
"5","Alabama",26,1039.88607594937,26,1056.26582278481,23.5,2014-02-01,1041,"2014-2019",5,-16.379746835443,2.5,1015,1013.88607594937,-18.879746835443
"6","Alabama",31,990.607594936709,31,1035.88607594937,31.5,2014-02-08,992,"2014-2019",6,-45.2784810126582,-0.5,961,959.607594936709,-44.7784810126582
"7","Alabama",27,939.329113924051,27,1032.38607594937,27,2014-02-15,941,"2014-2019",7,-93.0569620253165,3.5527136788005e-15,914,912.329113924051,-93.0569620253165
"8","Alabama",21,988.050632911392,21,1014.10759493671,30,2014-02-22,990,"2014-2019",8,-26.0569620253165,-9,969,967.050632911392,-17.0569620253165
"9","Alabama",28,956.772151898734,28,974.810126582278,28,2014-03-01,959,"2014-2019",9,-18.0379746835442,0,931,928.772151898734,-18.0379746835442
"10","Alabama",20,986.493670886076,20,992.392405063291,21,2014-03-08,989,"2014-2019",10,-5.89873417721515,-1,969,966.493670886076,-4.89873417721515
"11","Alabama",16,973.215189873418,16,1000.49367088608,26.5,2014-03-15,976,"2014-2019",11,-27.2784810126583,-10.5,960,957.215189873418,-16.7784810126583
"12","Alabama",17,933.936708860759,17,951.215189873418,20.5,2014-03-22,937,"2014-2019",12,-17.2784810126583,-3.5,920,916.936708860759,-13.7784810126583
"13","Alabama",NA,923.658227848101,NA,935.177215189873,22,2014-03-29,927,"2014-2019",13,-11.518987341772,NA,NA,NA,NA
